start,end
44739836,44739932
44746393,44746756
44775539,44775596
44800376,44800463
44808522,44808820
44808522,44808845
45326894,45327148
45340169,45340252
45507355,45507445
45584040,45584146
45690973,45691068
45803611,45803895
46203333,46203426
46248343,46248405
46260726,46260789
46303697,46303766
46309896,46309981
46344800,46344854
46671853,46671934
46812495,46812617
46961363,46961582
47023668,47023817
47067230,47067490
47333789,47333945
47333789,47334041
47438043,47438135
50048054,50048164
50103908,50103991
50108919,50109189
50109832,50109940
50141771,50141852
51236272,51236756
51616873,51617056
51729849,51729974
51752502,51752701
51760689,51760752
52404601,52404749
52633167,52633493
52726452,52726653
52842759,52842883
52927275,52927396
53014936,53015020
53069800,53069855
53196823,53196943
53459398,53459453
54200166,54200243
54548227,54548309
54652852,54652926
54670498,54670553
54806062,54806116
54980627,54981065
54998932,54999186
55039547,55039837
55043842,55044010
56645313,56645387
56854796,56854901
59554123,59554221
59814948,59815117
61077226,61077625
61081738,61081943
62206518,62206628
62439798,62439867
62803718,62803786
63322566,63323058
63370770,63370977
63593410,63593488
63623215,63623460
63774016,63774417
64203622,64204050
64470128,64470744
64634043,64634142
64745074,64745172
65148277,65148407
65264748,65264910
65309542,65309745
65420667,65420724
65421327,65421416
65913244,65913314
65913244,65913351
65992734,65992906
66332107,66332389
66354534,66354846
66534245,66534358
66930255,66930391
67685200,67685494
69567921,69568639
69568752,69568815
69569340,69569445
70411267,70411415
74235386,74235451
74733151,74733244
75130225,75130714
75724708,75724787
75724708,75724807
75739979,75740078
75796881,75796985
76074745,76074866
76309505,76309558
76412007,76412058
76867479,76867675
77282018,77282313
77916054,77916106
78013050,78013184
78044969,78045076
78045965,78046094
78492671,78492743
78635336,78635387
81836884,81836984
84078078,84078325
84144270,84144361
84164304,84164412
84164693,84165006
84398483,84398564
84412348,84412425
84516222,84516359
85580760,85580984
86424170,86424247
86704575,86704899
86719506,86719592
86914634,86915036
88684272,88684580
88760221,88760343
89378102,89378174
89995109,89995257
92029984,92030079
92080344,92080571
92832039,92832114
93079282,93079526
93345906,93346645
93448117,93448281
94418388,94418478
94820356,94820451
95239776,95239869
96721783,96721864
96749530,96749614
99264491,99264593
99646112,99646317
99852560,99852669
100038094,100038232
100266215,100266375
100352505,100352954
100538893,100538966
100719741,100719860
100896089,100896262
101238821,101238984
103525698,103526070
107148068,107148593
108560099,108560428
108692309,108692591
108695701,108695758
108696042,108696132
108696276,108696339
108746673,108746737
109090763,109090872
109114114,109114183
109186548,109187643
109213917,109213992
109249538,109250079
109466545,109466843
109542421,109543022
109548614,109548720
109619836,109620268
109620913,109621107
109625302,109625403
109656098,109656389
109668056,109668115
109687816,109687873
109712250,109712312
109910848,109911023
109984764,109985052
110112442,110112534
110166842,110166929
110210313,110211499
110451148,110451216
111147641,111147714
111230741,111230908
111310399,111310467
111449463,111449541
112466540,112467537
112508964,112509262
112514873,112514967
112674847,112674912
113073197,113073406
113390514,113391033
113905468,113905586
113979974,113980072
113980331,113980400
115651276,115651413
115976512,115976627
116112406,116112615
116373243,116373511
116373866,116374229
116384013,116384094
116754429,116754492
116909915,116910203
117001759,117001817
117367448,117368183
119380503,119380692
119415330,119415419
119507391,119507476
119711933,119712022
120436231,120436522
120723944,120724177
121186904,121187446
145094758,145094877
145095973,145096847
145607987,145608133
145728255,145728327
145824444,145824528
147252622,147252688
147252622,147252711
147254897,147254968
147255812,147255922
147265931,147266035
147611589,147611836
147928419,147928536
148748773,148748952
148808433,148808504
148844508,148844774
148889605,148889753
148889783,148889849
148952373,148952780
149390620,149390787
149851060,149851113
149886917,149886974
150067775,150067857
150149915,150150257
150157384,150157477
150257773,150258128
150283207,150283267
150328319,150328448
150364146,150364714
150440922,150440995
150444250,150444331
150508108,150508209
150552204,150552288
150912241,150912314
151008448,151008632
151018466,151018593
151036585,151036725
151047750,151047847
151166470,151166524
151198551,151198996
151540308,151540366
151612049,151612201
151762968,151763135
152811970,152812446
153678687,153679108
153728552,153728634
153775406,153775497
153991114,153991204
154272628,154272723
154321092,154321155
154328797,154328987
154405342,154405629
154567777,154568044
154974680,154974745
154983343,154983694
154983841,154983985
154987465,154988029
155033971,155034036
155051315,155051386
155066729,155066844
155078836,155078941
155127875,155127977
155135374,155135586
155135374,155135671
155135851,155135911
155135851,155135952
155173848,155173966
155174753,155174813
155175887,155175940
155208698,155208804
155277462,155277590
155321687,155321773
155323936,155324417
155325101,155325207
155611038,155611105
155611739,155611801
155611739,155611823
155859566,155859761
155941637,155941709
156054781,156054889
156061159,156061400
156114712,156114918
156126735,156126802
156156413,156156571
156338525,156338739
156369210,156369412
156728468,156729104
156767534,156767771
156815749,156815829
156860864,156860934
156904747,156904984
156920631,156920803
158180894,158181101
158181489,158181705
158248335,158248386
158254423,158254669
158289922,158290064
158353893,158353988
158465405,158465561
158472219,158472325
158606325,158606438
158754719,158754887
159171614,159171765
159204874,159204959
159587825,159587921
159800511,159800597
160083916,160084030
160115758,160115861
160151602,160152040
160190574,160190751
160208463,160208604
160344475,160344589
160370556,160370731
160415647,160415837
160739246,160739301
161098360,161098535
161118104,161118176
161118104,161118498
161159499,161159700
161167994,161168083
161226354,161226489
161258744,161258974
161524539,161524658
161663169,161663241
162069690,162070177
162378840,162378913
162497173,162497250
162497817,162498000
162561530,162561683
162790701,162790800
163068870,163068934
163069360,163069484
164559721,164559822
164559721,164559997
165543999,165544296
165827613,165827833
165885141,165885343
166840954,166841084
166989279,166989352
167329069,167329278
167337969,167338206
167630231,167630423
167721981,167722151
167936682,167936911
168178961,168179077
168226003,168226079
168280876,168281090
169106689,169106829
169795039,169795102
169804111,169804167
169827050,169827171
170145958,170146107
170532165,170532223
170664130,170664218
171101079,171101134
171193334,171193397
171257922,171258075
171512031,171512088
171781659,171781967
171783739,171783844
171841497,171841656
172420684,172420885
172452892,172453021
172532348,172532472
172533176,172533435
172659102,172659201
173477334,173477397
173635337,173635521
173824672,173825229
174447963,174448111
174700994,174701116
174700994,174701142
174702112,174702166
174799737,174800332
174877391,174877494
174957890,174958125
174964777,174964946
174999946,175000180
175004613,175004727
176555406,176556322
177229800,177229876
178094103,178094492
178341450,178341595
178513108,178513188
178776681,178776764
179043714,179043847
179082069,179082128
179302676,179302799
179366403,179366509
179882284,179882502
180230263,180230529
180632021,180632201
180912896,180913243
181049051,181049197
181088699,181088902
181483516,181483744
182806144,182806358
183023419,183023716
183186263,183186352
183472498,183472620
183515873,183515938
183516715,183516907
183805119,183805297
184477385,184477509
185734390,185734779
186854285,186854354
192158461,192158637
192342976,192343036
193122030,193122200
196652042,196652117
196819730,196819844
196888051,196888150
196943798,196943880
196977555,196977664
197268251,197268412
197328421,197328558
197912463,197912531
